State,County,White,Black,Hispanic,Asian,Native.American.Alaska.Native
Nebraska,Polk County,97.9,0.1,2.9,0.1,0.2
Nebraska,Saline County,83,0.9,20.2,1.6,0.4
Nebraska,Sherman County,99,0.1,1,0.3,0.1
Nebraska,Stanton County,94.9,0.7,4.6,0.1,0.4
Nebraska,Valley County,97.5,0.1,1.9,0.3,0.1
Nebraska,Wheeler County,98.3,0,0.7,0.5,0.1
Nevada,Eureka County,89.3,0.1,12,0.9,2.4
Nevada,Pershing County,81.9,3.7,22.3,1.3,3.2
Nevada,White Pine County,85.5,3.9,13.2,1,4.2
New Jersey,Camden County,65.3,19.6,14.2,5.1,0.3
New Jersey,Gloucester County,83.6,10.1,4.8,2.6,0.2
New Jersey,Passaic County,62.6,12.8,37,5,0.7
New Mexico,Bernalillo County,69.4,3,47.9,2.3,4.8
Mississippi,Lauderdale County,54.8,42.8,1.8,0.7,0.2
Mississippi,Leake County,49.5,40.6,4.3,0.2,6
Mississippi,Leflore County,24.9,72.2,2.3,0.6,0.2
Mississippi,Marion County,65.8,32.3,1.2,0.3,0.2
Mississippi,Neshoba County,60.6,20.9,1.6,0.3,16.2
Mississippi,Perry County,78.2,20,1,0.2,0.3
Mississippi,Quitman County,29,69.6,0.7,0.1,0.2
Mississippi,Stone County,78.6,19.1,1.3,0.3,0.5
Mississippi,Tate County,66.9,30.3,2.2,0.2,0.2
Mississippi,Webster County,78.7,19.9,1,0.1,0.2
Mississippi,Winston County,51.9,45.6,1,0.2,1.1
Missouri,Audrain County,89.8,6.4,2.6,0.5,0.4
Missouri,Bollinger County,97.9,0.3,0.8,0.2,0.6
Missouri,Camden County,96.5,0.4,2.3,0.4,0.5
Missouri,Carter County,96.6,0.1,1.7,0.1,1.1
Missouri,Christian County,95.7,0.6,2.5,0.5,0.6
Missouri,Crawford County,97.3,0.3,1.5,0.3,0.5
Missouri,Dent County,96.6,0.4,0.9,0.3,0.9
Missouri,Howard County,91.8,5.2,1.2,0.3,0.5
North Carolina,Alamance County,71.1,18.8,11,1.2,0.7
North Carolina,Alleghany County,92.2,1.3,9,0.5,0.2
North Carolina,Bladen County,56.3,34.9,7.1,0.2,2.1
North Carolina,Buncombe County,87.4,6.4,6,1,0.4
North Carolina,Caldwell County,90.2,4.9,4.6,0.5,0.3
North Carolina,Clay County,96.6,0.6,2.4,0.2,0.3
North Carolina,Dare County,92.3,2.5,6.5,0.6,0.4
North Carolina,Davidson County,84.3,8.9,6.4,1.2,0.5
North Carolina,Forsyth County,62.3,26,11.9,1.9,0.4
North Carolina,Guilford County,57,32.5,7.1,3.9,0.5
North Carolina,Hertford County,35.6,60.5,2.6,0.5,1.1
North Carolina,Jones County,63,32.4,3.9,0.3,0.6
North Carolina,Martin County,53.1,43.5,3.1,0.3,0.3
North Carolina,Nash County,55.9,37.2,6.3,0.8,0.7
North Carolina,Pender County,76.1,17.8,6.1,0.4,0.6
North Carolina,Randolph County,85.5,5.8,10.4,1,0.7
North Carolina,Scotland County,46.5,38.6,2.1,0.8,10.9
North Carolina,Vance County,44.2,49.9,6.7,0.4,0.3
North Carolina,Wake County,66.3,20.7,9.8,5.4,0.5
North Dakota,Barnes County,96.4,0.8,1.1,0.5,0.7
North Dakota,Billings County,98.6,0.3,0.5,0.5,0.4
North Dakota,Cavalier County,97.7,0.1,0.6,0.2,0.9
North Dakota,Foster County,98.4,0.1,0.9,0.1,0.6
North Dakota,Grand Forks County,90.3,2,2.9,1.9,2.5
North Dakota,LaMoure County,98.5,0.1,0.8,0.1,0.4
North Dakota,Mountrail County,65.6,0.2,3.7,0.2,30.6
North Dakota,Ransom County,97.8,0.3,1.2,0.4,0.4
North Dakota,Rolette County,20.3,0.2,1,0.1,77.2
North Dakota,Steele County,97.6,0.2,1,0.1,1.2
North Dakota,Towner County,96.7,0.1,0.4,0,2.2
Ohio,Allen County,83.8,11.9,2.4,0.7,0.2
Ohio,Brown County,97.5,0.9,0.6,0.2,0.2
Ohio,Clinton County,94.7,2.2,1.3,0.5,0.2
Ohio,Defiance County,92.8,1.9,8.7,0.3,0.3
Ohio,Fayette County,94.6,2,1.8,0.5,0.2
Ohio,Geauga County,96.9,1.3,1.1,0.6,0.1
Ohio,Guernsey County,96,1.5,0.9,0.3,0.2
Ohio,Hancock County,93.4,1.5,4.5,1.7,0.2
Ohio,Knox County,96.7,0.8,1.2,0.6,0.2
Ohio,Logan County,95.3,1.6,1.2,0.5,0.3
Ohio,Madison County,90.6,6.6,1.4,0.5,0.2
Ohio,Miami County,94.4,2,1.3,1.2,0.2
Ohio,Muskingum County,93,3.8,0.8,0.3,0.2
Ohio,Pike County,96.6,0.9,0.7,0.2,0.5
Ohio,Putnam County,95.7,0.3,5.5,0.2,0.2
Ohio,Seneca County,93.7,2.3,4.4,0.6,0.2
Ohio,Tuscarawas County,96.6,0.8,1.9,0.3,0.3
Ohio,Wayne County,95.7,1.5,1.6,0.8,0.2
Ohio,Wood County,92.8,2.4,4.5,1.5,0.2
Oklahoma,Beckham County,85,4,11.8,0.8,2.8
Oklahoma,Carter County,74.4,6.7,5.3,1.1,8.9
Oklahoma,Coal County,74.3,0.5,2.6,0.2,16.7
Oklahoma,Custer County,78.1,3,13.9,1,6.3
Oklahoma,Garfield County,83.9,3,8.8,1,2.3
Oklahoma,Greer County,83,7.1,9.8,0.2,2.7
New Mexico,Eddy County,77.4,1.4,44.1,0.7,1.5
New Mexico,Guadalupe County,70.4,1.7,79.6,1.3,1.9
New Mexico,Lincoln County,85.1,0.5,29.8,0.4,2.4
New Mexico,Socorro County,75.1,1.1,48.5,1.2,11.7
New York,Allegany County,96.2,1.1,1.4,0.9,0.2
New York,Chenango County,96.9,0.7,1.8,0.4,0.3
New York,Genesee County,92.9,2.7,2.7,0.6,1.1
New York,Herkimer County,96.6,1.1,1.6,0.5,0.2
New York,Lewis County,97.7,0.7,1.3,0.3,0.2
New York,Oneida County,87.1,6.3,4.6,2.8,0.3
New York,Otsego County,94.7,1.7,3.1,1.1,0.2
New York,Saratoga County,94.3,1.5,2.4,1.8,0.2
New York,Steuben County,95.3,1.6,1.4,1.2,0.2
